Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,075041,2014,02,18.5,Y
IDCJAC0004,075041,2014,03,14.4,Y
IDCJAC0004,075041,2014,04,11.0,Y
IDCJAC0004,075041,2014,05,8.0,Y
IDCJAC0004,075041,2014,06,5.8,Y
IDCJAC0004,075041,2014,07,2.7,Y
IDCJAC0004,075041,2014,08,2.7,Y
IDCJAC0004,075041,2014,09,6.3,Y
IDCJAC0004,075041,2014,10,10.6,Y
IDCJAC0004,075041,2014,11,14.2,Y
IDCJAC0004,075041,2014,12,17.4,Y
IDCJAC0004,075041,2015,01,18.3,Y
IDCJAC0004,075041,2015,02,19.4,Y
IDCJAC0004,075041,2015,03,14.1,Y
IDCJAC0004,075041,2015,04,11.2,Y
IDCJAC0004,075041,2015,05,7.2,Y
IDCJAC0004,075041,2015,06,4.3,Y
IDCJAC0004,075041,2015,07,3.1,Y
IDCJAC0004,075041,2015,08,4.7,Y
IDCJAC0004,075041,2015,09,4.5,Y
IDCJAC0004,075041,2015,10,12.4,Y
IDCJAC0004,075041,2015,11,14.1,Y
IDCJAC0004,075041,2015,12,17.6,Y
IDCJAC0004,075041,2016,01,18.8,Y
IDCJAC0004,075041,2016,02,17.5,Y
IDCJAC0004,075041,2016,03,17.3,Y
IDCJAC0004,075041,2016,04,11.7,Y
IDCJAC0004,075041,2016,05,8.3,Y
IDCJAC0004,075041,2016,06,6.3,Y
IDCJAC0004,075041,2016,07,5.7,Y
IDCJAC0004,075041,2016,08,4.2,Y
IDCJAC0004,075041,2016,09,7.3,Y
IDCJAC0004,075041,2016,10,7.3,Y
IDCJAC0004,075041,2016,11,11.2,Y
IDCJAC0004,075041,2016,12,15.8,Y
IDCJAC0004,075041,2017,01,18.1,Y
IDCJAC0004,075041,2017,02,17.0,Y
IDCJAC0004,075041,2017,03,17.1,Y
IDCJAC0004,075041,2017,04,10.0,Y
IDCJAC0004,075041,2017,05,5.5,Y
IDCJAC0004,075041,2017,06,1.0,Y
IDCJAC0004,075041,2017,07,2.0,Y
IDCJAC0004,075041,2017,08,2.1,Y
IDCJAC0004,075041,2017,09,5.4,Y
IDCJAC0004,075041,2017,10,10.7,Y
IDCJAC0004,075041,2017,11,14.6,Y
IDCJAC0004,075041,2017,12,17.2,Y
IDCJAC0004,075041,2018,01,19.4,Y
IDCJAC0004,075041,2018,02,17.7,Y
IDCJAC0004,075041,2018,03,14.4,Y
IDCJAC0004,075041,2018,04,12.1,Y
IDCJAC0004,075041,2018,05,6.0,Y
IDCJAC0004,075041,2018,06,4.1,Y
IDCJAC0004,075041,2018,07,1.9,Y
IDCJAC0004,075041,2018,08,3.2,Y
IDCJAC0004,075041,2018,09,5.0,Y
