Product code,Station number,Year,Month,Highest minimum temperature (°C),Day,Quality
IDCJAC0007,014015,1977,08,22.0,30,Y
IDCJAC0007,014015,1977,09,24.4,30,Y
IDCJAC0007,014015,1977,10,26.4,20,Y
IDCJAC0007,014015,1977,11,28.1,13,Y
IDCJAC0007,014015,1977,12,28.3,21,Y
IDCJAC0007,014015,1978,01,27.7,04,Y
IDCJAC0007,014015,1978,02,27.1,12,Y
IDCJAC0007,014015,1978,03,27.3,29,Y
IDCJAC0007,014015,1978,04,26.9,11,Y
IDCJAC0007,014015,1978,05,26.6,23,Y
IDCJAC0007,014015,1978,06,25.1,10,Y
IDCJAC0007,014015,1978,07,25.1,09,Y
IDCJAC0007,014015,1978,08,23.7,07,Y
IDCJAC0007,014015,1978,09,26.2,27,Y
IDCJAC0007,014015,1978,10,26.1,15,Y
IDCJAC0007,014015,1978,11,27.6,08,Y
IDCJAC0007,014015,1978,12,29.1,25,Y
IDCJAC0007,014015,1979,01,28.5,04,Y
IDCJAC0007,014015,1979,02,28.6,24,Y
IDCJAC0007,014015,1979,03,27.5,20,Y
IDCJAC0007,014015,1979,04,27.7,18,Y
IDCJAC0007,014015,1979,05,25.1,07,Y
IDCJAC0007,014015,1979,06,22.9,06,Y
IDCJAC0007,014015,1979,07,21.3,23,Y
IDCJAC0007,014015,1979,08,23.3,23,Y
IDCJAC0007,014015,1979,09,25.5,29,Y
IDCJAC0007,014015,1979,10,28.2,22,Y
IDCJAC0007,014015,1979,11,27.9,22,Y
IDCJAC0007,014015,1979,12,29.2,14,Y
IDCJAC0007,014015,1980,01,28.0,12,Y
IDCJAC0007,014015,1980,02,27.4,22,Y
IDCJAC0007,014015,1980,03,28.1,03,Y
IDCJAC0007,014015,1980,04,25.8,23,Y
IDCJAC0007,014015,1980,05,25.0,27,Y
IDCJAC0007,014015,1980,06,24.1,11,Y
IDCJAC0007,014015,1980,07,22.2,14,Y
IDCJAC0007,014015,1980,08,24.2,25,Y
IDCJAC0007,014015,1980,09,24.7,24,Y
IDCJAC0007,014015,1980,10,27.7,24,Y
IDCJAC0007,014015,1980,11,27.7,06,Y
IDCJAC0007,014015,1980,12,27.6,23,Y
IDCJAC0007,014015,1981,01,28.0,19,Y
IDCJAC0007,014015,1981,02,27.6,28,Y
IDCJAC0007,014015,1981,03,26.3,06,Y
IDCJAC0007,014015,1981,04,27.0,02,Y
IDCJAC0007,014015,1981,05,25.0,15,Y
IDCJAC0007,014015,1981,06,24.7,01,Y
IDCJAC0007,014015,1981,07,24.3,23,Y
IDCJAC0007,014015,1981,08,25.6,13,Y
IDCJAC0007,014015,1981,09,25.7,23,Y
IDCJAC0007,014015,1981,10,27.2,21,Y
IDCJAC0007,014015,1981,11,28.7,15,Y
IDCJAC0007,014015,1981,12,28.3,20,Y
IDCJAC0007,014015,1982,01,28.2,05,Y
IDCJAC0007,014015,1982,02,27.7,04,Y
IDCJAC0007,014015,1982,03,27.6,18,Y
IDCJAC0007,014015,1982,04,27.6,02,Y
IDCJAC0007,014015,1982,05,25.2,18,Y
IDCJAC0007,014015,1982,06,23.5,21,Y
IDCJAC0007,014015,1982,07,20.4,12,Y
IDCJAC0007,014015,1982,08,23.6,26,Y
IDCJAC0007,014015,1982,09,24.6,29,Y
IDCJAC0007,014015,1982,10,25.7,23,Y
IDCJAC0007,014015,1982,11,27.7,30,Y
IDCJAC0007,014015,1982,12,28.8,08,Y
IDCJAC0007,014015,1983,01,28.1,23,Y
IDCJAC0007,014015,1983,02,29.4,19,Y
IDCJAC0007,014015,1983,03,28.1,02,Y
IDCJAC0007,014015,1983,04,27.2,05,Y
IDCJAC0007,014015,1983,05,25.0,15,Y
IDCJAC0007,014015,1983,06,23.4,16,Y
IDCJAC0007,014015,1983,07,21.2,17,Y
IDCJAC0007,014015,1983,08,25.2,22,Y
IDCJAC0007,014015,1983,09,26.1,25,Y
IDCJAC0007,014015,1983,10,27.2,15,Y
IDCJAC0007,014015,1983,11,28.6,16,Y
IDCJAC0007,014015,1983,12,28.2,23,Y
IDCJAC0007,014015,1984,01,27.2,16,Y
IDCJAC0007,014015,1984,02,26.8,29,Y
IDCJAC0007,014015,1984,03,26.3,10,Y
IDCJAC0007,014015,1984,04,25.7,05,Y
IDCJAC0007,014015,1984,05,24.8,16,Y
IDCJAC0007,014015,1984,06,24.2,15,Y
IDCJAC0007,014015,1984,07,22.6,18,Y
IDCJAC0007,014015,1984,08,24.2,25,Y
IDCJAC0007,014015,1984,09,26.2,12,Y
IDCJAC0007,014015,1984,10,27.7,31,Y
IDCJAC0007,014015,1984,11,27.9,01,Y
IDCJAC0007,014015,1984,12,28.8,05,Y
IDCJAC0007,014015,1985,01,28.9,22,Y
IDCJAC0007,014015,1985,02,27.9,26,Y
IDCJAC0007,014015,1985,03,27.8,14,Y
IDCJAC0007,014015,1985,04,26.8,11,Y
IDCJAC0007,014015,1985,05,24.6,01,Y
IDCJAC0007,014015,1985,06,24.8,02,Y
IDCJAC0007,014015,1985,07,21.6,30,Y
