Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,031108,2008,11,31.7,Y
IDCJAC0002,031108,2008,12,30.9,Y
IDCJAC0002,031108,2009,01,28.7,Y
IDCJAC0002,031108,2009,02,28.8,Y
IDCJAC0002,031108,2009,03,28.4,Y
IDCJAC0002,031108,2009,04,28.1,Y
IDCJAC0002,031108,2009,05,24.7,Y
IDCJAC0002,031108,2009,06,25.5,Y
IDCJAC0002,031108,2009,07,24.8,Y
IDCJAC0002,031108,2009,08,26.1,Y
IDCJAC0002,031108,2009,09,28.5,Y
IDCJAC0002,031108,2009,10,29.5,Y
IDCJAC0002,031108,2009,11,29.4,Y
IDCJAC0002,031108,2009,12,31.4,Y
IDCJAC0002,031108,2010,01,28.7,Y
IDCJAC0002,031108,2010,02,30.0,Y
IDCJAC0002,031108,2010,03,28.0,Y
IDCJAC0002,031108,2010,04,26.5,Y
IDCJAC0002,031108,2010,05,26.1,Y
IDCJAC0002,031108,2010,06,24.5,Y
IDCJAC0002,031108,2010,07,24.4,Y
IDCJAC0002,031108,2010,08,26.7,Y
IDCJAC0002,031108,2010,09,28.3,Y
IDCJAC0002,031108,2010,10,28.1,Y
IDCJAC0002,031108,2010,11,28.8,Y
IDCJAC0002,031108,2010,12,30.0,Y
IDCJAC0002,031108,2011,01,29.4,Y
IDCJAC0002,031108,2011,02,28.4,Y
IDCJAC0002,031108,2011,03,28.2,Y
IDCJAC0002,031108,2011,04,26.3,Y
IDCJAC0002,031108,2011,05,25.0,Y
IDCJAC0002,031108,2011,06,23.5,Y
IDCJAC0002,031108,2011,07,22.7,Y
IDCJAC0002,031108,2011,08,24.5,Y
IDCJAC0002,031108,2011,09,26.6,Y
IDCJAC0002,031108,2011,10,30.0,Y
IDCJAC0002,031108,2011,11,29.3,Y
IDCJAC0002,031108,2011,12,30.5,Y
IDCJAC0002,031108,2012,01,30.4,Y
IDCJAC0002,031108,2012,02,29.4,Y
IDCJAC0002,031108,2012,03,27.9,Y
IDCJAC0002,031108,2012,04,27.4,Y
IDCJAC0002,031108,2012,05,24.5,Y
IDCJAC0002,031108,2012,06,24.4,Y
IDCJAC0002,031108,2012,07,23.3,Y
IDCJAC0002,031108,2012,08,24.4,Y
IDCJAC0002,031108,2012,09,27.8,Y
IDCJAC0002,031108,2012,10,29.3,Y
IDCJAC0002,031108,2012,11,30.7,Y
IDCJAC0002,031108,2012,12,32.9,Y
IDCJAC0002,031108,2013,01,31.5,Y
IDCJAC0002,031108,2013,02,31.7,Y
IDCJAC0002,031108,2013,03,29.3,Y
IDCJAC0002,031108,2013,04,28.0,Y
IDCJAC0002,031108,2013,05,26.0,Y
IDCJAC0002,031108,2013,06,25.6,Y
IDCJAC0002,031108,2013,07,23.4,Y
IDCJAC0002,031108,2013,08,27.1,Y
IDCJAC0002,031108,2013,09,28.8,Y
IDCJAC0002,031108,2013,10,30.5,Y
IDCJAC0002,031108,2013,11,30.5,Y
IDCJAC0002,031108,2013,12,30.1,Y
IDCJAC0002,031108,2014,01,31.2,Y
IDCJAC0002,031108,2014,02,28.4,Y
IDCJAC0002,031108,2014,03,27.9,Y
IDCJAC0002,031108,2014,04,27.0,Y
IDCJAC0002,031108,2014,05,25.2,Y
IDCJAC0002,031108,2014,06,23.3,Y
IDCJAC0002,031108,2014,07,23.2,Y
IDCJAC0002,031108,2014,08,24.5,Y
IDCJAC0002,031108,2014,09,28.1,Y
IDCJAC0002,031108,2014,10,29.8,Y
IDCJAC0002,031108,2014,11,31.5,Y
IDCJAC0002,031108,2014,12,32.9,Y
IDCJAC0002,031108,2015,01,32.7,Y
IDCJAC0002,031108,2015,02,30.3,Y
IDCJAC0002,031108,2015,03,29.4,Y
IDCJAC0002,031108,2015,04,28.2,Y
IDCJAC0002,031108,2015,05,27.1,Y
IDCJAC0002,031108,2015,06,25.1,Y
IDCJAC0002,031108,2015,07,24.1,Y
IDCJAC0002,031108,2015,08,26.2,Y
IDCJAC0002,031108,2015,09,27.6,Y
IDCJAC0002,031108,2015,10,28.3,Y
IDCJAC0002,031108,2015,11,31.9,Y
IDCJAC0002,031108,2015,12,30.6,Y
IDCJAC0002,031108,2016,01,32.0,Y
IDCJAC0002,031108,2016,02,32.3,Y
IDCJAC0002,031108,2016,03,30.3,Y
IDCJAC0002,031108,2016,04,28.9,Y
IDCJAC0002,031108,2016,05,27.8,Y
